name,type,座標(經緯度),營業時間
全家復豪店,便利商店(全家),"25.035224,121.543370",
全家興忠店,便利商店(全家),"25.039691,121.543479",
全家興仁店,便利商店(全家),"25.039088,121.543939",
全家懷生店,便利商店(全家),"25.044151,121.543571",
全家復豐店,便利商店(全家),"25.036645,121.543869",
全家和鑫店,便利商店(全家),"25.021905,121.543194",
全家興和店,便利商店(全家),"25.028416,121.543710",
全家興南店,便利商店(全家),"25.032910,121.543332",
全家新敦民店,便利商店(全家),"25.043633,121.549718",
全家忠孝店,便利商店(全家),"25.042717,121.548158",
全家敦鼎店,便利商店(全家),"25.030195,121.549291",
全家新遠企店,便利商店(全家),"25.025590,121.549089",
全家新生南路店,便利商店(全家),"25.034333,121.532910",
全家新北科店,便利商店(全家),"25.044230,121.533139",
全家大森店,便利商店(全家),"25.034233,121.535966",
全家台新店,便利商店(全家),"25.018821,121.533496",
全家瑞和店,便利商店(全家),"25.026481,121.541701",
全家潮州店,便利商店(全家),"25.029094,121.524341",
全家濟南二店,便利商店(全家),"25.040241,121.533506",
全家臨江店,便利商店(全家),"25.029330,121.556974",
全家古亭店,便利商店(全家),"25.024673,121.524458",
全家羅中店,便利商店(全家),"25.028126,121.521912",
全家羅騰店,便利商店(全家),"25.019054,121.530781",
全家台盛店,便利商店(全家),"25.018358,121.531592",
全家臺福店,便利商店(全家),"25.017049,121.533648",
全家台大舟山店,便利商店(全家),"25.017049,121.533648",
全家台大楓林店,便利商店(全家),"25.017049,121.533648",
全家台一宿舍店,便利商店(全家),"25.017049,121.533648",
全家台大二活店,便利商店(全家),"25.012905,121.536463",
全家民和店,便利商店(全家),"25.026251,121.499845",
全家鑫都店,便利商店(全家),"25.042955,121.505574",
全家昌林店,便利商店(全家),"25.038189,121.500466",
全家萬園店,便利商店(全家),"25.035019,121.499378",
全家金園店,便利商店(全家),"25.031294,121.495164",
全家萬年店,便利商店(全家),"25.043553,121.506211",
全家西寧南路店,便利商店(全家),"25.047748,121.507453",
全家和西店,便利商店(全家),"25.035114,121.494543",
全家昆明店,便利商店(全家),"25.041328,121.504376",
全家成都店,便利商店(全家),"25.042832,121.504662",
全家廣明店,便利商店(全家),"25.039893,121.504263",
全家東園店,便利商店(全家),"25.026087,121.496441",
全家萬東店,便利商店(全家),"25.022403,121.498021",
全家鑫吉利店,便利商店(全家),"25.026846,121.495038",
全家長泰店,便利商店(全家),"25.023228,121.501383",
全家公園店,便利商店(全家),"25.025487,121.503943",
全家日祥店,便利商店(全家),"25.021150,121.502354",
全家新青年店,便利商店(全家),"25.026145,121.506166",
全家新峨嵋店,便利商店(全家),"25.044174,121.504043",
全家萬國店,便利商店(全家),"25.043509,121.507367",
全家桂林店,便利商店(全家),"25.037948,121.505071",
全家康定店,便利商店(全家),"25.040745,121.502188",
全家康陽店,便利商店(全家),"25.039668,121.502026",
全家康勝店,便利商店(全家),"25.042566,121.502300",
全家萬華車站店,便利商店(全家),"25.033550,121.500268",
全家康華店,便利商店(全家),"25.035447,121.501343",
全家新富民店,便利商店(全家),"25.018948,121.499250",
全家貴陽店,便利商店(全家),"25.040123,121.500542",
全家新武成店,便利商店(全家),"25.020386,121.495879",
全家萬大店,便利商店(全家),"25.030998,121.500386",
全家萬武店,便利商店(全家),"25.021173,121.495160",
全家萬明店,便利商店(全家),"25.046114,121.505510",
全家萬中店,便利商店(全家),"25.045322,121.508070",
全家漢中店,便利商店(全家),"25.041718,121.507281",
全家龍廣店,便利商店(全家),"25.036832,121.500410",
全家新廣州店,便利商店(全家),"25.036837,121.498563",
全家園寶店,便利商店(全家),"25.026402,121.491489",
全家環河店,便利商店(全家),"25.033876,121.490723",
全家綠堤店,便利商店(全家),"25.032933,121.492299",
全家環南店,便利商店(全家),"25.031478,121.490648",
全家寶元店,便利商店(全家),"25.027289,121.493322",
全家寶興店,便利商店(全家),"25.026085,121.494186",
全家大道店,便利商店(全家),"25.040795,121.582581",
全家信吉店,便利商店(全家),"25.044996,121.580781",
全家協和店,便利商店(全家),"25.042835,121.583348",
全家新中坡店,便利商店(全家),"25.040642,121.585062",
全家台北１０１店,便利商店(全家),"25.034089,121.563859",
全家厚雅店,便利商店(全家),"25.043129,121.568603",
全家永吉二店,便利商店(全家),"25.045758,121.573965",
全家光復南路店,便利商店(全家),"25.035201,121.557647",
全家復昌店,便利商店(全家),"25.032031,121.557596",
全家松創店,便利商店(全家),"25.043948,121.558136",
全家富興店,便利商店(全家),"25.028813,121.560954",
全家挹翠店,便利商店(全家),"25.020367,121.569823",
全家盛興店,便利商店(全家),"25.026098,121.565860",
全家北醫店,便利商店(全家),"25.026992,121.563840",
全家三興店,便利商店(全家),"25.031759,121.559466",
全家六張黎店,便利商店(全家),"25.019886,121.557550",
全家忠信店,便利商店(全家),"25.041055,121.575402",
全家忠美店,便利商店(全家),"25.040980,121.578449",
全家新忠隆店,便利商店(全家),"25.041790,121.567217",
全家松安店,便利商店(全家),"25.041042,121.577093",
全家國館捷運站店,便利商店(全家),"25.041134,121.557901",
全家大巨蛋店,便利商店(全家),"25.042315,121.559530",
全家大巨蛋２店,便利商店(全家),"25.042315,121.559530",
全家聯合店,便利商店(全家),"25.042342,121.563485",
全家松盛店,便利商店(全家),"25.046550,121.577956",
全家松傑店,便利商店(全家),"25.049183,121.578971",
全家松山車站店,便利商店(全家),"25.049183,121.578971",
全家南山廣場店,便利商店(全家),"25.034460,121.568126",
全家新安興店,便利商店(全家),"25.024843,121.569154",
全家永孝店,便利商店(全家),"25.043596,121.572108",
全家建鑫店,便利商店(全家),"25.035583,121.567833",
全家新信德店,便利商店(全家),"25.032440,121.574732",
全家信安店,便利商店(全家),"25.034506,121.573714",
全家新松林店,便利商店(全家),"25.046286,121.577066",
全家欣富台店,便利商店(全家),"25.042269,121.574119",
全家忠林店,便利商店(全家),"25.039201,121.576493",
全家永林店,便利商店(全家),"25.043395,121.576217",
全家海華店,便利商店(全家),"25.040292,121.574071",
全家祥和店,便利商店(全家),"25.024201,121.570420",
全家松仁店,便利商店(全家),"25.028444,121.568813",
全家松友店,便利商店(全家),"25.035288,121.576969",
全家新貿店,便利商店(全家),"25.033272,121.558895",
全家永隆店,便利商店(全家),"25.042500,121.566140",
全家財盛店,便利商店(全家),"25.028657,121.557184",
全家崇德店,便利商店(全家),"25.024369,121.553809",
全家莊新店,便利商店(全家),"25.028456,121.563374",
全家莊敬店,便利商店(全家),"25.027550,121.564895",
全家景聯店,便利商店(全家),"25.030796,121.561130",
全家逸鑫店,便利商店(全家),"25.040385,121.563068",
全家廣慈店,便利商店(全家),"25.038416,121.581320",
全家芝玉店,便利商店(全家),"25.112312,121.537537",
全家新士誠店,便利商店(全家),"25.112016,121.528810",
全家大東店,便利商店(全家),"25.090099,121.525481",
全家新天地店,便利商店(全家),"25.089102,121.517584",
全家華港店,便利商店(全家),"25.088416,121.520864",
全家大南店,便利商店(全家),"25.089397,121.524860",
全家金天玉店,便利商店(全家),"25.121942,121.530611",
全家士林店,便利商店(全家),"25.097656,121.527119",
全家榮富店,便利商店(全家),"25.115084,121.527949",
全家天強店,便利商店(全家),"25.108973,121.525443",
全家仰德大樓店,便利商店(全家),"25.104987,121.524985",
全家士商店,便利商店(全家),"25.091758,121.518068",
全家福林店,便利商店(全家),"25.095188,121.525986",
全家新磺溪店,便利商店(全家),"25.118386,121.525882",
全家天山店,便利商店(全家),"25.119814,121.533408",
全家天成店,便利商店(全家),"25.117927,121.532665",
全家新光醫院店,便利商店(全家),"25.096316,121.520296",
全家大北店,便利商店(全家),"25.092366,121.526144",
全家後花園店,便利商店(全家),"25.131497,121.576274",
全家中影店,便利商店(全家),"25.097101,121.544754",
全家至善店,便利商店(全家),"25.100569,121.551115",
全家和豐店,便利商店(全家),"25.082825,121.519358",
全家社子島店,便利商店(全家),"25.105874,121.483417",
全家新延店,便利商店(全家),"25.083959,121.509849",
全家葫蘆店,便利商店(全家),"25.085598,121.509472",
全家誠德店,便利商店(全家),"25.108804,121.530597",
全家新蘭雅店,便利商店(全家),"25.110850,121.530370",
全家忠旺店,便利商店(全家),"25.115164,121.532747",
全家永新店,便利商店(全家),"25.087679,121.507950",
全家社中店,便利商店(全家),"25.092291,121.503420",
全家鑫社店,便利商店(全家),"25.092141,121.506306",
全家社正店,便利商店(全家),"25.088718,121.509558",
全家致昇店,便利商店(全家),"25.102178,121.529165",
全家大港店,便利商店(全家),"25.084857,121.521431",
全家福港店,便利商店(全家),"25.085188,121.517764",
全家天文店,便利商店(全家),"25.097076,121.519482",
全家新葫東店,便利商店(全家),"25.084574,121.511961",
全家新格致店,便利商店(全家),"25.137716,121.546313",
全家基河店,便利商店(全家),"25.088709,121.523101",
全家通河店,便利商店(全家),"25.081014,121.520657",
全家新文大店,便利商店(全家),"25.137530,121.540320",
全家美崙店,便利商店(全家),"25.097177,121.523182",
全家百齡店,便利商店(全家),"25.087199,121.517616",
全家芝興店,便利商店(全家),"25.104545,121.521511",
全家新芝蘭店,便利商店(全家),"25.109939,121.535760",
全家德忠店,便利商店(全家),"25.110002,121.528485",
全家德行店,便利商店(全家),"25.107915,121.528311",
全家三合店,便利商店(全家),"25.126936,121.504239",
全家崇合店,便利商店(全家),"25.126239,121.501171",
全家大同店,便利商店(全家),"25.132132,121.497258",
全家大業店,便利商店(全家),"25.129864,121.498376",
全家大心店,便利商店(全家),"25.130655,121.501759",
全家甲桂林店,便利商店(全家),"25.128551,121.530717",
全家文化店,便利商店(全家),"25.136780,121.495075",
全家新復興崗店,便利商店(全家),"25.138421,121.486556",
全家義忠店,便利商店(全家),"25.131246,121.472935",
全家中央南路店,便利商店(全家),"25.125814,121.500506",
全家新和店,便利商店(全家),"25.145102,121.495048",
全家鑫復中店,便利商店(全家),"25.141115,121.499661",
全家中永店,便利商店(全家),"25.139937,121.500871",
全家溫泉店,便利商店(全家),"25.132687,121.503755",
全家永興店,便利商店(全家),"25.138854,121.499326",
全家榮光店,便利商店(全家),"25.112431,121.515116",
全家華勝店,便利商店(全家),"25.117105,121.516478",
全家東榮店,便利商店(全家),"25.119211,121.519223",
全家關渡慈濟店,便利商店(全家),"25.124257,121.471979",
全家光明店,便利商店(全家),"25.132661,121.499160",
全家北投店,便利商店(全家),"25.136229,121.504149",
全家新自強店,便利商店(全家),"25.110778,121.515528",
全家東陽店,便利商店(全家),"25.112047,121.516716",
全家華儷店,便利商店(全家),"25.119740,121.510091",
全家唭哩店,便利商店(全家),"25.120490,121.506376",
全家立賢店,便利商店(全家),"25.116480,121.505281",
全家明德店,便利商店(全家),"25.109075,121.518863",
全家北護店,便利商店(全家),"25.117609,121.521426",
全家東華店,便利商店(全家),"25.117758,121.513642",
全家新知行店,便利商店(全家),"25.120354,121.466982",
全家行勝店,便利商店(全家),"25.122007,121.467455",
全家振華店,便利商店(全家),"25.115650,121.519941",
全家清江店,便利商店(全家),"25.131811,121.501370",
全家尊賢店,便利商店(全家),"25.117353,121.507184",
全家新實店,便利商店(全家),"25.115327,121.509529",
全家富貴店,便利商店(全家),"25.113667,121.523936",
全家榮岩店,便利商店(全家),"25.123677,121.503252",
全家麗山店,便利商店(全家),"25.080373,121.579098",
全家湖安店,便利商店(全家),"25.082946,121.566979",
全家碧湖店,便利商店(全家),"25.080997,121.573314",
全家陽湖店,便利商店(全家),"25.084823,121.561527",
全家湖濱店,便利商店(全家),"25.083851,121.580862",
全家文湖店,便利商店(全家),"25.086887,121.562634",
全家湖茂店,便利商店(全家),"25.087114,121.560153",
全家德陽店,便利商店(全家),"25.076852,121.579950",
全家紫陽店,便利商店(全家),"25.078309,121.584302",
全家瑞陽店,便利商店(全家),"25.077207,121.582696",
全家民善店,便利商店(全家),"25.057548,121.577102",
全家三民店,便利商店(全家),"25.068786,121.586051",
全家內華店,便利商店(全家),"25.068665,121.591812",
全家湖洲店,便利商店(全家),"25.070215,121.608901",
全家金莊店,便利商店(全家),"25.062823,121.587424",
全家東安店,便利商店(全家),"25.067835,121.615747",
全家新內湖店,便利商店(全家),"25.071264,121.589725",
全家湖興店,便利商店(全家),"25.067552,121.589281",
全家興三總店,便利商店(全家),"25.071800,121.591982",
全家達成店,便利商店(全家),"25.081164,121.590487",
全家湖捷店,便利商店(全家),"25.083356,121.593582",
全家德湖店,便利商店(全家),"25.082760,121.592489",
全家行善公宅店,便利商店(全家),"25.060381,121.581783",
全家行善店,便利商店(全家),"25.061544,121.584190",
全家新東湖店,便利商店(全家),"25.069196,121.614150",
全家明美店,便利商店(全家),"25.063510,121.587180",
全家金瑞店,便利商店(全家),"25.088283,121.586693",
全家台塑店,便利商店(全家),"25.059301,121.586806",
全家星湖店,便利商店(全家),"25.080855,121.596255",
全家內科店,便利商店(全家),"25.079526,121.572918",
全家紫新店,便利商店(全家),"25.080497,121.591659",
全家康雲店,便利商店(全家),"25.079502,121.593357",
全家護校店,便利商店(全家),"25.075208,121.610030",
全家東茂店,便利商店(全家),"25.070208,121.612455",
全家湖東店,便利商店(全家),"25.070810,121.618343",
全家康福店,便利商店(全家),"25.069632,121.618828",
全家新瑞店,便利商店(全家),"25.081150,121.563774",
全家精英店,便利商店(全家),"25.078240,121.566762",
全家港華店,便利商店(全家),"25.082891,121.575007",
全家陽盛店,便利商店(全家),"25.073032,121.577346",
全家行美店,便利商店(全家),"25.054857,121.580532",
全家新盛店,便利商店(全家),"25.057641,121.585828",
全家新湖店,便利商店(全家),"25.064886,121.582544",
全家瑞光店,便利商店(全家),"25.079464,121.567655",
全家瑞湖店,便利商店(全家),"25.080095,121.570252",
全家瑞興店,便利商店(全家),"25.075921,121.575867",
全家瑞豐店,便利商店(全家),"25.075487,121.576017",
全家瑞盛店,便利商店(全家),"25.069626,121.580852",
全家瑞亞店,便利商店(全家),"25.076540,121.574148",
全家瑞智店,便利商店(全家),"25.078312,121.571169",
全家陽鑫店,便利商店(全家),"25.072580,121.575962",
全家新環山店,便利商店(全家),"25.082928,121.565702",
全家新德明店,便利商店(全家),"25.086553,121.567981",
全家堤頂店,便利商店(全家),"25.072758,121.573978",
全家湖山店,便利商店(全家),"25.082171,121.573544",
全家德民店,便利商店(全家),"25.049829,121.580614",
全家工業三店,便利商店(全家),"25.057471,121.614762",
全家工業一店,便利商店(全家),"25.057859,121.613901",
全家宏展店,便利商店(全家),"25.057265,121.614382",
全家新成鑫店,便利商店(全家),"25.044405,121.584297",
全家港運店,便利商店(全家),"25.047758,121.581397",
全家小彎公宅店,便利商店(全家),"25.057701,121.593147",
全家南港生技店,便利商店(全家),"25.052193,121.609965",
全家港忠店,便利商店(全家),"25.053317,121.615941",
全家南港車站店,便利商店(全家),"25.052590,121.607455",
全家新昆陽店,便利商店(全家),"25.050117,121.594181",
全家南港公宅店,便利商店(全家),"25.054765,121.604780",
全家港成店,便利商店(全家),"25.054537,121.593062",
全家中研店,便利商店(全家),"25.047660,121.613847",
全家研究院店,便利商店(全家),"25.045806,121.615015",
全家重陽店,便利商店(全家),"25.056667,121.598746",
全家向陽店,便利商店(全家),"25.055118,121.595898",
全家富康店,便利商店(全家),"25.051969,121.616919",
全家工業二店,便利商店(全家),"25.058954,121.612182",
全家台肥大樓店,便利商店(全家),"25.057825,121.618407",
全家京石店,便利商店(全家),"25.061434,121.615084",
全家大聯大店,便利商店(全家),"25.060685,121.616129",
全家港福店,便利商店(全家),"25.039630,121.592009",
全家中視店,便利商店(全家),"25.056200,121.601501",
全家興華店,便利商店(全家),"25.055925,121.605676",
全家國興店,便利商店(全家),"25.043166,121.618948",
全家新莊研店,便利商店(全家),"25.039469,121.621235",
全家胡適店,便利商店(全家),"25.042341,121.618172",
全家舊莊店,便利商店(全家),"25.040720,121.619022",
全家試院店,便利商店(全家),"24.987128,121.547328",
全家木興店,便利商店(全家),"24.988629,121.558935",
全家明興店,便利商店(全家),"24.990067,121.562905",
全家木柵路店,便利商店(全家),"24.988837,121.568577",
全家欣榮店,便利商店(全家),"24.982112,121.562918",
全家鑫木新店,便利商店(全家),"24.980352,121.555923",
全家仙岩店,便利商店(全家),"24.998265,121.547821",
全家師美店,便利商店(全家),"25.008084,121.537456",
全家順輝店,便利商店(全家),"24.986422,121.554979",
全家興昌店,便利商店(全家),"25.006671,121.558973",
全家名門店,便利商店(全家),"25.005164,121.567859",
全家大順店,便利商店(全家),"24.984431,121.560481",
全家鑫順店,便利商店(全家),"24.984605,121.562569",
全家保儀店,便利商店(全家),"24.987358,121.568439",
全家恆光店,便利商店(全家),"24.983153,121.566853",
全家興政店,便利商店(全家),"24.987878,121.575131",
全家政富店,便利商店(全家),"24.987505,121.577119",
全家指南店,便利商店(全家),"24.983825,121.579682",
全家景中店,便利商店(全家),"24.993060,121.541735",
全家景文店,便利商店(全家),"24.991180,121.541390",
全家景後店,便利商店(全家),"24.991918,121.542984",
全家新文華店,便利商店(全家),"24.995174,121.541577",
全家華德店,便利商店(全家),"24.995290,121.545429",
全家景富店,便利商店(全家),"24.999095,121.538273",
全家萬慶店,便利商店(全家),"24.993664,121.539152",
全家世景店,便利商店(全家),"24.989703,121.542229",
全家興萬店,便利商店(全家),"25.000807,121.570731",
全家新福興店,便利商店(全家),"25.003657,121.549836",
全家萬興店,便利商店(全家),"25.004308,121.541341",
全家景興店,便利商店(全家),"24.999584,121.544180",
全家興園店,便利商店(全家),"25.000432,121.552243",
全家興業店,便利商店(全家),"25.001671,121.552696",
全家靜興店,便利商店(全家),"24.999224,121.546620",
全家金興店,便利商店(全家),"25.001242,121.549596",
全家萬芳店,便利商店(全家),"24.998848,121.557059",
全家中科大店,便利商店(全家),"24.999848,121.555598",
全家再興店,便利商店(全家),"24.994990,121.561509",
全家興崙店,便利商店(全家),"24.986565,121.560769",
全家文山公宅店,便利商店(全家),"24.987711,121.561979",
全家萬和店,便利商店(全家),"25.002202,121.536862",
全家萬福店,便利商店(全家),"25.001349,121.540125",
全家羅和店,便利商店(全家),"24.995701,121.540953",
全家景和店,便利商店(全家),"24.991435,121.539992",
上弘門市,便利商店(7-11),"25.056391,121.548287",
中崙門市,便利商店(7-11),"25.048396,121.552737",
北體門市,便利商店(7-11),"25.050888,121.552850",
台場門市,便利商店(7-11),"25.048086,121.551158",
市大門市,便利商店(7-11),"25.045127,121.548085",
民有門市,便利商店(7-11),"25.061936,121.544998",
民復門市,便利商店(7-11),"25.058164,121.555867",
吉仁門市,便利商店(7-11),"25.046070,121.553689",
吉盛門市,便利商店(7-11),"25.050942,121.560964",
吉祥門市,便利商店(7-11),"25.050398,121.562671",
吉德門市,便利商店(7-11),"25.046236,121.552588",
京東門市,便利商店(7-11),"25.051325,121.558747",
京城門市,便利商店(7-11),"25.051819,121.553565",
京復門市,便利商店(7-11),"25.049672,121.559468",
京發門市,便利商店(7-11),"25.051769,121.561618",
京萬門市,便利商店(7-11),"25.051988,121.547286",
京運門市,便利商店(7-11),"25.051628,121.544998",
京興門市,便利商店(7-11),"25.051177,121.564906",
京寶門市,便利商店(7-11),"25.051836,121.566061",
庚塑門市,便利商店(7-11),"25.055449,121.550038",
延新門市,便利商店(7-11),"25.057297,121.566252",
延壽門市,便利商店(7-11),"25.056236,121.556423",
征東門市,便利商店(7-11),"25.058555,121.565903",
征唐門市,便利商店(7-11),"25.060341,121.565542",
東光門市,便利商店(7-11),"25.052050,121.558128",
東吉門市,便利商店(7-11),"25.058525,121.560308",
東復門市,便利商店(7-11),"25.059075,121.546337",
東榮門市,便利商店(7-11),"25.058707,121.558428",
東鑫門市,便利商店(7-11),"25.058359,121.550472",
松山富泰門市,便利商店(7-11),"25.058056,121.564867",
松民門市,便利商店(7-11),"25.052392,121.563880",
松禾門市,便利商店(7-11),"25.050878,121.571303",
松祐門市,便利商店(7-11),"25.050325,121.574057",
松航門市,便利商店(7-11),"25.063719,121.551514",
松復門市,便利商店(7-11),"25.049324,121.557643",
松德門市,便利商店(7-11),"25.050645,121.577548",
松慶門市,便利商店(7-11),"25.052768,121.544630",
松機門市,便利商店(7-11),"25.063818,121.549644",
松饒門市,便利商店(7-11),"25.051083,121.578011",
松鑽門市,便利商店(7-11),"25.049883,121.576641",
威京門市,便利商店(7-11),"25.048778,121.562435",
風復門市,便利商店(7-11),"25.045677,121.544165",
庫德門市,便利商店(7-11),"25.047816,121.546062",
健一門市,便利商店(7-11),"25.053224,121.552453",
婦聯門市,便利商店(7-11),"25.053927,121.561080",
清愿門市,便利商店(7-11),"25.048327,121.546946",
統威門市,便利商店(7-11),"25.050205,121.565500",
復旦門市,便利商店(7-11),"25.047071,121.549283",
復吉門市,便利商店(7-11),"25.052006,121.545531",
復安門市,便利商店(7-11),"25.056579,121.545906",
復春門市,便利商店(7-11),"25.054422,121.544337",
復星門市,便利商店(7-11),"25.048468,121.544235",
復惠門市,便利商店(7-11),"25.059896,121.544487",
敦化門市,便利商店(7-11),"25.061026,121.547919",
敦北門市,便利商店(7-11),"25.054075,121.549585",
敦巨門市,便利商店(7-11),"25.051960,121.550597",
朝福門市,便利商店(7-11),"25.058078,121.563263",
塔優門市,便利商店(7-11),"25.059856,121.568049",
新育商門市,便利商店(7-11),"25.049099,121.554982",
新復勢門市,便利商店(7-11),"25.047914,121.556434",
新寶清門市,便利商店(7-11),"25.051089,121.568688",
新饒河門市,便利商店(7-11),"25.050409,121.576534",
福源門市,便利商店(7-11),"25.062111,121.566068",
樂得門市,便利商店(7-11),"25.050146,121.544193",
錢京門市,便利商店(7-11),"25.052739,121.548322",
聰明門市,便利商店(7-11),"25.052698,121.567732",
寶德門市,便利商店(7-11),"25.049187,121.566344",
鑫壽門市,便利商店(7-11),"25.056714,121.560524",
BBS夢廣場店門市,便利商店(7-11),"25.039454,121.565645",
一零一門市,便利商店(7-11),"25.033373,121.565077",
三興門市,便利商店(7-11),"25.029186,121.561392",
中興門市,便利商店(7-11),"25.031971,121.558791",
仁和門市,便利商店(7-11),"25.036561,121.558423",
仁信門市,便利商店(7-11),"25.033642,121.568002",
世貿門市,便利商店(7-11),"25.033867,121.562325",
世貿二門市,便利商店(7-11),"25.033867,121.562325",
北府門市,便利商店(7-11),"25.028462,121.568193",
北醫門市,便利商店(7-11),"25.027178,121.563533",
北醫大門市,便利商店(7-11),"25.026987,121.562224",
巨東門市,便利商店(7-11),"25.042224,121.562826",
巨蛋門市,便利商店(7-11),"25.040901,121.561699",
市捷門市,便利商店(7-11),"25.040914,121.565136",
市運門市,便利商店(7-11),"25.041249,121.567124",
市議會門市,便利商店(7-11),"25.038134,121.562003",
必成門市,便利商店(7-11),"25.042567,121.564947",
永吉門市,便利商店(7-11),"25.045709,121.573994",
永信門市,便利商店(7-11),"25.043534,121.568836",
光復門市,便利商店(7-11),"25.033679,121.557644",
吳興門市,便利商店(7-11),"25.024536,121.563441",
宏泰門市,便利商店(7-11),"25.036845,121.568655",
忠林門市,便利商店(7-11),"25.040657,121.576851",
忠隆門市,便利商店(7-11),"25.041718,121.567225",
昌隆門市,便利商店(7-11),"25.028011,121.556730",
松山門市,便利商店(7-11),"25.040764,121.574124",
松仁門市,便利商店(7-11),"25.026747,121.568407",
松信門市,便利商店(7-11),"25.043771,121.571913",
松茂門市,便利商店(7-11),"25.049192,121.577914",
松家門市,便利商店(7-11),"25.035809,121.578498",
